"name","slug","aliases","category","kind","overview","mechanism_of_action","research_applications","dose_range","common_cycle_length","break_before_continuing","administration_notes","administration","half_life","fda_status","development_stage","keywords","pubmed_query","reference_1_title","reference_1_journal","reference_1_year","reference_1_url","reference_2_title","reference_2_journal","reference_2_year","reference_2_url","reference_3_title","reference_3_journal","reference_3_year","reference_3_url","notes_to_developer","content_status"
"Pancragen","pancragen","Pancreatic Peptide Bioregulator","Bioregulator Peptide","bioregulator","Peptide bioregulator targeting pancreatic tissue.","Peptide bioregulator targeting pancreatic tissue. Normalizes beta-cell gene expression, supports insulin synthesis and secretion pathways, modulates pancreatic enzyme production, and promotes islet cell function during metabolic stress.","","1â€“2 capsules/day (complex preparation)","Varies by research protocol","Protocol-dependent","Oral","Oral","Variable (complex)","Research only / status to be verified","Content pending researcher verification","Pancreatic Peptide Bioregulator|Pancragen|Bioregulator Peptide","Pancragen","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"PE-22-28","pe-22-28","","Nootropic & Neuropeptide","peptide","","","","","","","","","","","","PE-22-28|Nootropic & Neuropeptide|peptide","PE-22-28","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"PEG-MGF","peg-mgf","PEGylated Mechano Growth Factor","Growth Factor","peptide","PEGylated form of MGF (IGF-1Ec splice variant) with extended half-life from polyethylene glycol conjugation.","PEGylated form of MGF (IGF-1Ec splice variant) with extended half-life from polyethylene glycol conjugation. Activates satellite cell proliferation in damaged skeletal muscle, promotes muscle stem cell activation, and supports myoblast fusion for fiber repair.","","200â€“400 mcg, 2â€“3x weekly","Varies by research protocol","Protocol-dependent","Intramuscular or subcutaneous injection","Intramuscular or subcutaneous injection","Several hours (extended by PEGylation)","Research only / status to be verified","Content pending researcher verification","PEGylated Mechano Growth Factor|PEG-MGF|Growth Factor","PEG-MGF","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Pielotax","pielotax","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Pielotax|Bioregulator Peptide|bioregulator","Pielotax","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Pinealon","pinealon","EDR Tripeptide|Glu-Asp-Arg","Bioregulator Peptide","bioregulator","Synthetic tripeptide bioregulator targeting CNS and pineal function.","Synthetic tripeptide bioregulator targeting CNS and pineal function. Penetrates cell membranes, interacts with DNA regulatory regions, modulates gene expression for neuroprotection, and regulates melatonin synthesis pathways.","","10â€“20 mcg/day","Varies by research protocol","Protocol-dependent","Oral, sublingual","Oral, sublingual","Short (tripeptide)","Research only / status to be verified","Content pending researcher verification","EDR Tripeptide|Glu-Asp-Arg|Pinealon|Bioregulator Peptide","Pinealon","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Prostatilen","prostatilen","Prostate Peptide Bioregulator|Vitaprost","Bioregulator Peptide","bioregulator","Peptide complex extracted from bovine prostate gland.","Peptide complex extracted from bovine prostate gland. Reduces prostatic inflammation, normalizes prostate epithelial cell function, improves microcirculation, and modulates local immune responses. Approved in Russia for prostatitis/BPH.","","30â€“50 mg suppository or 5â€“10 mg injection","Varies by research protocol","Protocol-dependent","Rectal suppository, intramuscular injection","Rectal suppository, intramuscular injection","Variable (complex)","Approved / marketed indication noted in source content","Approved","Prostate Peptide Bioregulator|Vitaprost|Prostatilen|Bioregulator Peptide","Prostatilen","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"PT-141","pt-141","Bremelanotide|Vyleesi","Melanocortin","peptide","Selective MC4R agonist derived from Melanotan II metabolite.","Selective MC4R agonist derived from Melanotan II metabolite. Activates hypothalamic melanocortin circuits for sexual arousal independent of vascular mechanisms. FDA-approved for hypoactive sexual desire disorder (HSDD) in premenopausal women.","","1.75 mg per event","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","~2.7 hours","Approved / marketed indication noted in source content","Approved","Bremelanotide|Vyleesi|PT-141|Melanocortin","PT-141","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Renagen","renagen","Kidney Peptide Bioregulator","Bioregulator Peptide","bioregulator","Peptide bioregulator targeting renal tissue.","Peptide bioregulator targeting renal tissue. Normalizes nephron cell gene expression, supports glomerular filtration efficiency, modulates renal tubular transport mechanisms, and promotes kidney tissue repair during aging.","","1â€“2 capsules/day (complex preparation)","Varies by research protocol","Protocol-dependent","Oral","Oral","Variable (complex)","Research only / status to be verified","Content pending researcher verification","Kidney Peptide Bioregulator|Renagen|Bioregulator Peptide","Renagen","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Retatrutide","retatrutide","LY3437943|Triple G Agonist","Metabolic","peptide","Triple agonist targeting GIP, GLP-1, and glucagon receptors simultaneously.","Triple agonist targeting GIP, GLP-1, and glucagon receptors simultaneously. The glucagon component adds thermogenic and lipolytic effects beyond dual incretins, producing the highest weight loss seen in clinical trials to date.","","1â€“12 mg/week (clinical trial doses)","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","~6 days","Research only / status to be verified","Content pending researcher verification","LY3437943|Triple G Agonist|Retatrutide|Metabolic","Retatrutide","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Retinalamin","retinalamin","Retinal Peptide Bioregulator","Bioregulator Peptide","bioregulator","Peptide complex derived from retinal tissue.","Peptide complex derived from retinal tissue. Normalizes retinal pigment epithelium function, supports photoreceptor cell metabolism, modulates retinal microcirculation, and provides neuroprotection for optic nerve structures.","","5 mg/day injection for 10 days","Varies by research protocol","Protocol-dependent","Parabulbar or intramuscular injection","Parabulbar or intramuscular injection","Variable (complex)","Research only / status to be verified","Content pending researcher verification","Retinal Peptide Bioregulator|Retinalamin|Bioregulator Peptide","Retinalamin","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Selank","selank","TP-7|Thr-Lys-Pro-Arg-Pro-Gly-Pro","Nootropic & Neuropeptide","peptide","Synthetic heptapeptide analogue of tuftsin with added Pro-Gly-Pro sequence for enzymatic stability.","Synthetic heptapeptide analogue of tuftsin with added Pro-Gly-Pro sequence for enzymatic stability. Modulates GABA-A receptor allosteric sites, increases BDNF and enkephalin expression, and regulates IL-6 balance.","","250â€“500 mcg/day intranasal","Varies by research protocol","Protocol-dependent","Intranasal","Intranasal","Minutes (plasma); extended CNS activity","Research only / status to be verified","Content pending researcher verification","TP-7|Thr-Lys-Pro-Arg-Pro-Gly-Pro|Selank|Nootropic & Neuropeptide","Selank","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Semaglutide","semaglutide","","Metabolic","peptide","","","","","","","","","","","","Semaglutide|Metabolic|peptide","Semaglutide","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Semax","semax","","Nootropic & Neuropeptide","peptide","","","","","","","","","","","","Semax|Nootropic & Neuropeptide|peptide","Semax","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Sermorelin","sermorelin","","Growth Hormone Secretagogue","peptide","","","","","","","","","","","","Sermorelin|Growth Hormone Secretagogue|peptide","Sermorelin","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Servodutide","servodutide","","Metabolic","peptide","","","","","","","","","","","","Servodutide|Metabolic|peptide","Servodutide","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Sigumir","sigumir","Cartilage & Bone Peptide Bioregulator","Bioregulator Peptide","bioregulator","Peptide bioregulator derived from cartilage and bone tissue.","Peptide bioregulator derived from cartilage and bone tissue. Normalizes chondrocyte and osteoblast gene expression, supports proteoglycan synthesis, modulates calcium metabolism, and promotes joint and skeletal tissue maintenance.","","1â€“2 capsules/day (complex preparation)","Varies by research protocol","Protocol-dependent","Oral","Oral","Variable (complex)","Research only / status to be verified","Content pending researcher verification","Cartilage & Bone Peptide Bioregulator|Sigumir|Bioregulator Peptide","Sigumir","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"SS-31","ss-31","Elamipretide|Bendavia|MTP-131","Longevity & Mitochondrial","peptide","Cell-permeable tetrapeptide (D-Arg-Dmt-Lys-Phe-NH2) that targets cardiolipin in the inner mitochondrial membrane.","Cell-permeable tetrapeptide (D-Arg-Dmt-Lys-Phe-NH2) that targets cardiolipin in the inner mitochondrial membrane. Stabilizes cristae structure, optimizes electron transport chain efficiency, and reduces mitochondrial ROS production.","","0.25â€“4 mg/kg (clinical trial dosing)","Varies by research protocol","Protocol-dependent","Subcutaneous injection, intravenous","Subcutaneous injection, intravenous","~4 hours","Research only / status to be verified","Content pending researcher verification","Elamipretide|Bendavia|MTP-131|SS-31|Longevity & Mitochondrial","SS-31","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Svetinorm","svetinorm","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Svetinorm|Bioregulator Peptide|bioregulator","Svetinorm","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"TB-500","tb-500","Thymosin Beta-4 Fragment|TÎ²4","Healing & Recovery","peptide","Synthetic fragment of thymosin beta-4.","Synthetic fragment of thymosin beta-4. Promotes actin polymerization and cell migration, upregulates Akt signaling, modulates inflammatory cytokines, and supports endothelial cell differentiation for wound repair.","","2â€“2.5 mg twice weekly","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","~3 days","Research only / status to be verified","Content pending researcher verification","Thymosin Beta-4 Fragment|TÎ²4|TB-500|Healing & Recovery","TB-500","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Tesamorelin","tesamorelin","Egrifta|TH9507","Growth Hormone Secretagogue","peptide","Synthetic GHRH analogue with a trans-3-hexenoic acid modification.","Synthetic GHRH analogue with a trans-3-hexenoic acid modification. FDA-approved for HIV-associated lipodystrophy. Stimulates pulsatile GH release and reduces visceral adipose tissue.","","2 mg/day","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","26â€“38 minutes","Approved / marketed indication noted in source content","Approved","Egrifta|TH9507|Tesamorelin|Growth Hormone Secretagogue","Tesamorelin","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Tesofensine","tesofensine","","Metabolic","peptide","","","","","","","","","","","","Tesofensine|Metabolic|peptide","Tesofensine","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Testagen","testagen","Testicular Peptide Bioregulator","Bioregulator Peptide","bioregulator","Peptide bioregulator derived from testicular tissue extracts.","Peptide bioregulator derived from testicular tissue extracts. Modulates Leydig cell gene expression, supports testosterone synthesis pathways, and normalizes hypothalamic-pituitary-gonadal axis function in aging models.","","1â€“2 capsules/day (complex preparation)","Varies by research protocol","Protocol-dependent","Oral","Oral","Variable (complex)","Research only / status to be verified","Content pending researcher verification","Testicular Peptide Bioregulator|Testagen|Bioregulator Peptide","Testagen","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Testoluten","testoluten","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Testoluten|Bioregulator Peptide|bioregulator","Testoluten","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Threogen","threogen","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Threogen|Bioregulator Peptide|bioregulator","Threogen","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Thymalin","thymalin","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Thymalin|Bioregulator Peptide|bioregulator","Thymalin","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Thymogen","thymogen","EW Dipeptide|Glu-Trp","Bioregulator Peptide","bioregulator","Synthetic dipeptide (Glu-Trp) that mimics thymic peptide activity.","Synthetic dipeptide (Glu-Trp) that mimics thymic peptide activity. Modulates T-lymphocyte differentiation and maturation, normalizes immune cell ratios, and supports thymic function. Part of Khavinson's bioregulatory peptide research.","","1â€“10 mg intranasally or injection","Varies by research protocol","Protocol-dependent","Intranasal, intramuscular injection","Intranasal, intramuscular injection","Short (dipeptide)","Research only / status to be verified","Content pending researcher verification","EW Dipeptide|Glu-Trp|Thymogen|Bioregulator Peptide","Thymogen","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Thymosin Alpha-1","thymosin-alpha-1","TÎ±1|Zadaxin|Thymalfasin","Immune Modulation","peptide","28-amino acid thymic peptide that activates dendritic cell maturation via TLR9, promotes T-cell differentiation (Th1 polarization), enhances NK cell cytotoxicity, and modulates inflammatory cytokine balance.","28-amino acid thymic peptide that activates dendritic cell maturation via TLR9, promotes T-cell differentiation (Th1 polarization), enhances NK cell cytotoxicity, and modulates inflammatory cytokine balance. Approved in multiple countries for hepatitis B/C.","","1.6 mg twice weekly","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","~2 hours","Approved / marketed indication noted in source content","Approved","TÎ±1|Zadaxin|Thymalfasin|Thymosin Alpha-1|Immune Modulation","Thymosin Alpha-1","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Tirzepatide","tirzepatide","Mounjaro|Zepbound|LY3298176","Metabolic","peptide","Dual GIP and GLP-1 receptor agonist (twincretin).","Dual GIP and GLP-1 receptor agonist (twincretin). Activates both incretin pathways for synergistic insulin secretion, glucagon suppression, and appetite reduction. Superior weight loss versus GLP-1 mono-agonists in clinical trials.","","2.5â€“15 mg/week","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","~5 days","Research only / status to be verified","Content pending researcher verification","Mounjaro|Zepbound|LY3298176|Tirzepatide|Metabolic","Tirzepatide","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Triptorelin","triptorelin","","Reproductive","peptide","","","","","","","","","","","","Triptorelin|Reproductive|peptide","Triptorelin","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Ventfort","ventfort","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Ventfort|Bioregulator Peptide|bioregulator","Ventfort","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Vesilut","vesilut","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Vesilut|Bioregulator Peptide|bioregulator","Vesilut","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Vesugen","vesugen","KED Tripeptide|Lys-Glu-Asp","Bioregulator Peptide","bioregulator","Synthetic tripeptide bioregulator targeting vascular endothelium.","Synthetic tripeptide bioregulator targeting vascular endothelium. Modulates gene expression related to vascular wall integrity, endothelial function, and angiogenesis. Part of Khavinson's organ-specific peptide bioregulation model.","","10â€“20 mcg/day","Varies by research protocol","Protocol-dependent","Oral, sublingual","Oral, sublingual","Short (tripeptide)","Research only / status to be verified","Content pending researcher verification","KED Tripeptide|Lys-Glu-Asp|Vesugen|Bioregulator Peptide","Vesugen","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Viadonix","viadonix","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Viadonix|Bioregulator Peptide|bioregulator","Viadonix","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Vilon","vilon","KE Dipeptide|Lys-Glu","Bioregulator Peptide","bioregulator","Synthetic dipeptide (Lys-Glu) derived from thymic bioregulators.","Synthetic dipeptide (Lys-Glu) derived from thymic bioregulators. Modulates gene expression related to immune function and cell proliferation, promotes T-lymphocyte differentiation, and supports thymic peptide balance in aging.","","10â€“20 mcg/day","Varies by research protocol","Protocol-dependent","Oral, sublingual","Oral, sublingual","Short (dipeptide)","Research only / status to be verified","Content pending researcher verification","KE Dipeptide|Lys-Glu|Vilon|Bioregulator Peptide","Vilon","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"VIP","vip","","Immune Modulation","peptide","","","","","","","","","","","","VIP|Immune Modulation|peptide","VIP","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Zhenoluten","zhenoluten","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Zhenoluten|Bioregulator Peptide|bioregulator","Zhenoluten","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
